account,total_pnl,avg_pnl,pnl_std,win_rate,avg_trade_size,consistency_score,risk_score,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1354944.712604,499.61088222861355,4917.179608851124,0.43547197640117996,16559.604299410028,0.10160517245042024,37173.16728470681,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4461.019600400001,2.5801154426836326,145.04989911326484,0.46905725853094277,2018.091017929439,0.01778777814165265,4212.630081251736,3
0x271b280974205ca63b716753467d5a371de622ab,26501.418909,23.246858692105263,107.07726209007394,0.387719298245614,10937.58197368421,0.2171035943695151,27500.75749889722,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,40738.857149835,9.463149163724738,169.72201495540705,0.45876887340301975,449.0192799070848,0.055756756779339084,957.8692301974679,3
0x2c229d22b100a7beb69122eed721cee9b24011dd,75632.204016,84.41094198214286,379.9807252907866,0.5267857142857143,2599.986060267857,0.22214532512247995,4843.620072355288,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-53952.65702068,-148.22158522164835,555.8098226674713,0.2445054945054945,1648.258653846154,-0.26667680006736627,6476.31854490501,3
0x39cef799f8b69da1995852eea189df24eb5cae3c,-58642.41298783,-25.331495891071274,882.8259084615489,0.3248380129589633,4613.289533477322,-0.02869364799966213,13777.675636973489,3
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,9427.284199923,67.82218848865467,319.3835098265986,0.6906474820143885,4081.770287769784,0.21235344402446957,5825.711777389875,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,31683.539916,204.4099349419355,712.976120727907,0.22580645161290322,5721.4908387096775,0.28669955235884387,24263.504240766073,0
0x430f09841d65beb3f27765503d0f850b8bce7713,28164.25079,98.47640136363636,473.42122795879476,0.24125874125874125,4606.371083916084,0.2080101088415861,18333.17742833287,3
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,6846.070561899899,1.9295576555523954,84.89855100967586,0.3221533258173619,531.7426719278467,0.022727804065874817,1600.8952209625959,3
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,400314.708372,176.03988934564646,1031.692381519915,0.40589270008795075,10022.557867194371,0.17063214997833748,24098.903070611374,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,81323.56623499999,27.679906819264804,928.4872615391705,0.34785568413886997,17670.592600408443,0.02981183257545987,49379.102760181864,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,85920.06129603999,33.62820402976125,1003.8171828352771,0.30528375733855184,28801.29053620352,0.0335003271225924,91350.37839985103,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,4732.5527648476,11.627893771124324,30.873384033847348,0.2751842751842752,977.1885257985258,0.37663164432330115,3426.5161540449726,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,154996.61440666998,210.30748223428762,2859.4242512887827,0.48846675712347354,8976.695970149254,0.0735488908530975,18008.615101940824,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,201618.490159,427.1578181334746,2175.045999547073,0.23940677966101695,2108.6040677966103,0.19639024555160436,8454.477743798845,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,168289.527411,50.4919074140414,229.30301546211933,0.8292829282928292,3510.8452865286527,0.22019731006191373,4183.148695363078,2
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,9354.10892573,6.739271560324207,54.51748840575284,0.4711815561959654,3445.740129682997,0.12361668950245276,7160.9979337605555,2
0x8170715b3b381dffb7062c0298972d4727a0a63b,51989.751922,41.85970364090177,413.6088347702163,0.19887278582930756,2644.4741465378424,0.10120601887759784,12660.69266055046,3
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,7734.8189902700005,6.802831126007036,160.69832464370262,0.33421284080914687,8594.447396657872,0.04233293096712251,24968.410174515164,3
0x8477e447846c758f5a675856001ea72298fd9cb5,6881.0081136,1.269792971692194,67.33967850147738,0.3100202989481454,777.5154530356155,0.018856534232010058,2429.581672135118,3
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,15301.36767627,39.13393267588235,123.25438421937508,0.27621483375959077,3619.7629411764706,0.3175053983371835,12647.013761057993,2
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,14237.930301734199,3.3289526073729716,118.73563954201407,0.2684124386252046,1375.3962801028758,0.028036675358609254,4940.139481176046,3
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,24582.689750679998,91.38546375717472,815.4416350919842,0.46096654275092935,2246.2924163568773,0.11206867507420994,4769.537137895651,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29319.41271239,87.78267279158682,276.47309794348166,0.46107784431137727,3321.3709281437123,0.31750891181471474,7050.577666200584,2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,9625.458017773,160.42430029621667,654.9079208339515,0.18333333333333332,15929.664166666666,0.24495703128308077,82394.8146551724,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1666346.80581213,214.90157413104592,1839.8451588515443,0.40121227753417593,3995.025099303585,0.11680416310054383,9715.237889441561,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,7537.567699000001,1.892910019839277,234.27047709347048,0.4455047714716223,20108.06668257157,0.008080019451209015,44144.57968817192,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,812531.099954781,80.67226965396952,811.3881553308439,0.5067513899920572,3846.605968030183,0.09942500272468281,7443.823166279839,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,91724.16370100001,62.9109490404664,1577.1398322110877,0.40329218106995884,8960.359972565158,0.03988926518479878,21680.44880347838,3
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,269892.80519019,24.262208305482737,157.17750051271673,0.4919992808342323,1699.5921296296297,0.15436183977972037,3385.646542770368,2
